IPO_date,IPO_number
2010/6/8,46000000.00 
2010/6/8,32000000.00 
2010/6/10,56000000.00 
2010/6/10,71000000.00 
2010/6/10,30000000.00 
2010/6/10,31000000.00 
2010/6/18,25000000.00 
2010/6/18,42500000.00 
2010/6/18,33000000.00 
2010/6/18,27930000.00 
2010/6/23,35000000.00 
2010/6/23,26000000.00 
2010/6/23,25000000.00 
2010/7/6,73820000.00 
2010/7/6,29000000.00 
2010/7/6,50000000.00 
2010/7/6,33500000.00 
2010/7/13,63500000.00 
2010/7/13,31000000.00 
2010/7/13,26000000.00 
2010/7/13,17000000.00 
2010/7/16,23500000.00 
2010/7/16,55000000.00 
2010/7/16,40400000.00 
2010/7/20,36600000.00 
2010/7/20,25000000.00 
2010/7/20,30000000.00 
2010/7/20,60000000.00 
2010/8/3,22000000.00 
2010/8/3,24000000.00 
2010/8/3,35000000.00 
2010/8/10,27000000.00 
2010/8/10,43000000.00 
2010/8/10,25000000.00 
2010/8/18,70000000.00 
2010/8/18,40000000.00 
2010/8/18,80000000.00 
2010/8/31,35000000.00 
2010/8/31,85000000.00 
2010/8/31,24500000.00 
2010/9/8,30000000.00 
2010/9/8,40000000.00 
2010/9/8,16600000.00 
2010/9/8,100000000.00 
2010/9/10,40000000.00 
2010/9/10,30000000.00 
2010/9/10,20000000.00 
2010/9/15,26000000.00 
2010/9/15,43800000.00 
2010/9/15,30000000.00 
2010/9/21,69500000.00 
2010/9/21,54000000.00 
2010/9/21,35000000.00 
2010/9/21,15000000.00 
2010/9/29,40000000.00 
2010/9/29,50000000.00 
2010/9/29,40000000.00 
2010/10/15,50000000.00 
2010/10/15,52000000.00 
2010/10/15,30000000.00 
2010/10/21,30000000.00 
2010/10/21,60000000.00 
2010/10/21,70000000.00 
2010/10/21,67000000.00 
2010/11/2,30000000.00 
2010/11/2,56000000.00 
2010/11/2,28500000.00 
2010/11/2,26000000.00 
2010/11/9,25000000.00 
2010/11/9,40000000.00 
2010/11/9,50000000.00 
2010/11/9,19000000.00 
2010/11/15,399800000.00 
2010/11/17,23600000.00 
2010/11/17,22000000.00 
2010/11/17,20000000.00 
2010/11/18,27000000.00 
2010/11/18,26000000.00 
2010/11/18,66000000.00 
2010/11/23,40000000.00 
2010/11/23,40000000.00 
2010/11/23,25000000.00 
2010/11/25,52000000.00 
2010/11/25,40000000.00 
2010/12/3,30000000.00 
2010/12/3,19000000.00 
